target,n,k,d,q,seconds,status,A_poly,B_poly
Z5xZ12,120,8,4,1.067,0.03,ok,x*y^8 + x^2 + x^3*y^11,x^4*y^4 + x^4*y^6 + x^4*y^8
Z5xZ12,120,8,8,4.267,0.22,ok,x^3*y^2 + x^3*y^7 + x^3*y^9,y^3 + x*y^4 + x^2*y^9
Z5xZ12,120,8,8,4.267,0.35,ok,x^2 + x^3*y + x^4*y^3,1 + x^2*y^11 + x^4*y^3
Z5xZ12,120,8,2,0.267,0.01,ok,x + x*y^4 + x^2*y^2,y^7 + y^11 + x*y^9
Z5xZ12,120,8,8,4.267,0.19,ok,y^5 + x^3*y^5 + x^4*y^7,y^3 + x^2*y^11 + x^3*y^2
Z5xZ12,120,8,4,1.067,0.03,ok,x*y^4 + x^2*y^6 + x^4*y^8,x*y^9 + x^3*y^11 + x^4*y^7
Z5xZ12,120,8,10,6.667,0.42,ok,x*y^6 + x^3*y^11 + x^4*y^11,x^2*y^8 + x^3*y^10 + x^4*y^5
Z5xZ12,120,8,8,4.267,0.27,ok,y^2 + x^2*y^3 + x^3*y^9,1 + x*y^9 + x^3*y^8
Z5xZ12,120,8,8,4.267,0.24,ok,y^2 + x*y^5 + x^3,y^7 + x*y^7 + x^3*y^5
Z5xZ12,120,8,10,6.667,0.47,ok,y^2 + x*y^11 + x^3*y^3,y^4 + x*y^9 + x^2*y^10
Z5xZ12,120,8,8,4.267,0.29,ok,x*y^6 + x^3*y^7 + x^4*y,x*y^10 + x^3*y^11 + x^4*y^8
Z5xZ12,120,32,2,1.067,0.01,ok,y^4 + x^2 + x^4*y^4,x*y^11 + x^2*y^11 + x^4*y^7
Z5xZ12,120,8,10,6.667,0.55,ok,y^6 + x*y^9 + x^3*y^11,y^6 + x*y + x^2*y^3
Z5xZ12,120,8,8,4.267,0.29,ok,x*y^8 + x^2*y^5 + x^4*y^6,x*y^5 + x^2*y^5 + x^4*y^3
