instance_id,n,k,d_known,d_method,d_tandem,parity_flag,seconds,status
0291a0aa8d774f1b,78,4,10,sat-cadical@1.9.5 (pysat),10,True,0.27,PASS
0496a8e57d987570,78,4,10,sat-cadical@1.9.5 (pysat),10,True,0.31,PASS
098bfd41577903f4,78,4,10,sat-cadical@1.9.5 (pysat),10,True,0.22,PASS
09efe52aec1dce45,78,4,10,sat-cadical@1.9.5 (pysat),10,True,0.32,PASS
5d507de36267a5ee,180,16,8,sat,8,True,0.39,PASS
38d3c884a86ecc6d,150,8,8,sat,8,True,0.25,PASS
ac46bbeae7a3a397,150,8,8,sat,8,True,0.24,PASS
d7433d258fade574,150,8,8,sat,8,True,0.23,PASS
bb_72_12_6,72,12,6,published,6,True,0.03,PASS
bb_90_8_10,90,8,10,published,10,True,0.27,PASS
bb_108_8_10,108,8,10,published,10,True,0.35,PASS
gross,144,12,12,published,12,True,1.54,PASS
