group,n,k,d,q,seconds,status,A_poly,B_poly
Z7xZ14,196,6,10,3.061,2.9,ok,x*y + x^4*y^12 + x^6*y^9,y^3 + x^3 + x^3*y^9
Z7xZ14,196,6,14,6.0,23.23,ok,x^4*y + x^5*y^10 + x^5*y^11,x^2*y^7 + x^2*y^11 + x^3*y^3
Z7xZ14,196,6,12,4.408,5.62,ok,y^6 + x^3*y^9 + x^4*y^8,y^12 + x^2*y^13 + x^4*y^12
Z7xZ14,196,6,12,4.408,4.1,ok,x^3*y^6 + x^5*y^12 + x^6,y^7 + x*y^13 + x^5*y^8
Z7xZ14,196,6,4,0.49,0.07,ok,y^5 + x^4*y^9 + x^5*y^3,y^4 + x^4*y^11 + x^5*y^10
Z7xZ14,196,6,14,6.0,26.91,ok,x + x*y^9 + x^2*y,x + x*y^4 + x^5*y^13
Z7xZ14,196,6,16,7.837,910.55,ok,y^4 + x*y^3 + x^4*y^9,x^3*y^12 + x^4*y^4 + x^4*y^7
Z7xZ14,196,6,12,4.408,5.61,ok,x^4*y^3 + x^5*y + x^6*y^9,x^2*y^10 + x^5*y^7 + x^6*y^9
Z7xZ14,196,6,14,6.0,43.41,ok,x^4*y^9 + x^5*y^4 + x^6*y^2,x*y + x^6*y^12 + x^6*y^13
Z7xZ14,196,6,14,6.0,26.54,ok,x^3*y^7 + x^3*y^9 + x^6*y^4,y^4 + x^3*y + x^5*y^10
Z7xZ14,196,6,12,4.408,4.35,ok,y^3 + x^3*y^2 + x^6,x^3*y^11 + x^4*y^2 + x^5*y^13
Z7xZ14,196,6,8,1.959,0.71,ok,y^8 + x*y^3 + x^5*y^4,y^2 + x^2*y^4 + x^3*y^6
Z7xZ14,196,6,14,6.0,31.98,ok,y^9 + x^3*y^4 + x^3*y^10,x^5*y^4 + x^6*y + x^6*y^7
Z7xZ14,196,6,14,6.0,39.09,ok,y^9 + x^4*y^9 + x^5*y^10,x^3*y^12 + x^4*y^8 + x^5*y^9
Z7xZ14,196,6,8,1.959,0.83,ok,y^9 + x^2*y + x^3*y^4,y^6 + x^3*y^6 + x^6*y^4
Z7xZ14,196,6,8,1.959,1.39,ok,y^11 + x^2*y^11 + x^4*y^2,x^2*y + x^4 + x^5*y^10
Z7xZ14,196,6,14,6.0,47.88,ok,y^6 + x*y^9 + x^2*y^9,y^12 + x*y^11 + x^6*y^7
Z7xZ14,196,6,12,4.408,5.11,ok,x*y^9 + x^4*y^2 + x^6*y^4,x^5*y^4 + x^5*y^10 + x^6*y^4
Z7xZ14,196,6,14,6.0,39.12,ok,x^2*y^9 + x^3*y^2 + x^5*y^8,x^2*y^8 + x^5*y^3 + x^5*y^11
Z7xZ14,196,6,8,1.959,0.7,ok,x*y^12 + x^2*y^10 + x^3*y^5,x^3*y^9 + x^4 + x^6*y^10
Z7xZ14,196,6,16,7.837,809.23,ok,x*y^12 + x^4*y^2 + x^4*y^12,y + x*y^11 + x^3*y^12
Z7xZ14,196,6,10,3.061,1.32,ok,x^2*y^9 + x^5*y^2 + x^6*y^13,1 + y^13 + x^6
Z7xZ14,196,6,12,4.408,5.1,ok,x^2*y^4 + x^3*y^5 + x^3*y^10,x*y^5 + x*y^6 + x^6*y^13
Z7xZ14,196,6,12,4.408,3.65,ok,y^13 + x*y^6 + x^4*y^11,y^8 + x^3*y^12 + x^6*y^10
Z7xZ14,196,6,8,1.959,0.74,ok,y^10 + x*y^4 + x^5*y,y^8 + x*y^2 + x^6*y^13
Z7xZ14,196,6,14,6.0,25.57,ok,y^11 + x*y^12 + x^5*y^13,x^2*y^12 + x^4*y^12 + x^5*y^10
Z7xZ14,196,6,12,4.408,5.85,ok,x*y^12 + x^6*y^4 + x^6*y^10,x^2*y^11 + x^3*y^4 + x^6*y^7
Z7xZ14,196,6,14,6.0,31.46,ok,x^3 + x^3*y^5 + x^4*y^9,x^2*y^4 + x^3 + x^5*y^2
Z7xZ14,196,6,14,6.0,21.56,ok,x^2*y^2 + x^3*y^11 + x^6*y^6,x*y + x^4*y^7 + x^5*y^4
Z7xZ14,196,6,14,6.0,23.91,ok,x*y^2 + x^6*y + x^6*y^5,x^5*y^8 + x^6*y^8 + x^6*y^12
Z7xZ14,196,6,14,6.0,30.68,ok,y^10 + x*y + x^2*y^8,x^4*y^2 + x^5*y^12 + x^6*y^2
Z7xZ14,196,6,12,4.408,4.92,ok,x^2*y^8 + x^3 + x^3*y^11,x^4 + x^5*y^4 + x^6
Z7xZ14,196,6,16,7.837,687.71,ok,x^2*y^6 + x^2*y^9 + x^6,y + x^6*y^2 + x^6*y^4
Z7xZ14,196,6,16,7.837,750.12,ok,y^9 + x*y^3 + x^5*y^4,y + x^4*y^10 + x^6
Z7xZ14,196,6,8,1.959,0.7,ok,x^3*y^7 + x^4 + x^6*y^6,x*y^12 + x^3*y^9 + x^4*y^4
Z7xZ14,196,6,4,0.49,0.08,ok,x*y^4 + x^2*y^10 + x^6*y,y^5 + x*y^5 + x^5*y^5
Z7xZ14,196,6,4,0.49,0.06,ok,x^3*y^9 + x^4*y^12 + x^6*y^9,y^3 + x^2*y^3 + x^3*y^3
Z7xZ14,196,6,14,6.0,42.11,ok,x*y^5 + x*y^10 + x^2,x^3*y^8 + x^5*y^4 + x^5*y^8
Z7xZ14,196,6,12,4.408,6.19,ok,x^4 + x^5 + x^5*y^13,x^2*y^5 + x^4*y^5 + x^6*y^7
Z7xZ14,196,6,12,4.408,9.31,ok,y^12 + y^13 + x^5*y^7,y^2 + x*y^9 + x^4*y^12
Z7xZ14,196,6,16,7.837,646.16,ok,y^13 + x*y^7 + x^5*y,y^13 + x*y^3 + x^4*y^2
Z7xZ14,196,6,12,4.408,5.15,ok,x + x^3*y^9 + x^4*y^7,x^2*y^10 + x^4*y^13 + x^5*y^12
Z7xZ14,196,6,14,6.0,48.43,ok,y^7 + x*y^6 + x^4*y^11,x^3*y^6 + x^4*y^11 + x^5
Z7xZ14,196,6,14,6.0,26.54,ok,x^3*y^5 + x^3*y^10 + x^5*y^5,1 + y^13 + x^6*y^4
Z7xZ14,196,6,14,6.0,25.03,ok,y^9 + x*y^8 + x^5*y^10,y^10 + x^4 + x^6*y^3
Z7xZ14,196,6,8,1.959,1.14,ok,y^9 + x + x^3*y^3,x^5 + x^6*y + x^6*y^7
Z7xZ14,196,6,12,4.408,4.8,ok,x + x*y + x^6*y^5,x^2*y^11 + x^3*y^8 + x^6*y^4
Z7xZ14,196,6,12,4.408,4.38,ok,x + x^5*y + x^5*y^13,y^12 + x*y^13 + x^3*y^11
Z7xZ14,196,6,8,1.959,1.99,ok,x*y^4 + x^3*y^3 + x^5*y^4,x^3*y^8 + x^4*y^5 + x^6*y^6
Z7xZ14,196,6,12,4.408,7.53,ok,x^3*y^7 + x^4*y^2 + x^4*y^11,x*y + x^2*y + x^4*y^6
Z7xZ14,196,6,16,7.837,819.23,ok,y^10 + x*y^5 + x^6*y^12,x*y^5 + x*y^13 + x^3*y^13
Z7xZ14,196,6,12,4.408,6.14,ok,x*y^8 + x^4*y^12 + x^6*y^2,x*y^6 + x^3*y^11 + x^5*y^4
Z7xZ14,196,6,12,4.408,5.8,ok,y^13 + x^2*y^5 + x^4*y,y^5 + x*y + x^4*y^8
Z7xZ14,196,6,12,4.408,5.8,ok,y^7 + x*y^3 + x^6*y^13,x*y^12 + x^2*y^8 + x^6*y^5
Z7xZ14,196,6,16,7.837,792.59,ok,x*y^9 + x^5*y^9 + x^6*y^12,y^13 + x^2*y^11 + x^6*y^2
Z7xZ14,196,6,10,3.061,0.91,ok,x*y^6 + x^4*y^6 + x^5,x*y^5 + x^3 + x^4*y^6
Z7xZ14,196,6,14,6.0,19.09,ok,y^9 + x^2*y^5 + x^4*y^6,y^3 + x^2*y^6 + x^2*y^8
Z7xZ14,196,6,8,1.959,0.71,ok,y^11 + x*y^2 + x^5*y^8,x*y^6 + x^4*y^13 + x^6*y^9
Z7xZ14,196,6,12,4.408,4.18,ok,x + x^5*y^3 + x^6,y^9 + x^2*y^10 + x^6*y^11
Z7xZ14,196,6,12,4.408,4.73,ok,y^3 + x*y^4 + x^3*y^10,x*y^4 + x^5*y^3 + x^6*y^3
Z7xZ14,196,6,8,1.959,0.61,ok,y^10 + x*y^10 + x^4*y^6,y^3 + x^4*y^6 + x^6*y^4
Z7xZ14,196,6,16,7.837,701.42,ok,x^5*y^7 + x^5*y^8 + x^6*y^6,x*y^12 + x^2*y^4 + x^6*y^4
Z7xZ14,196,6,16,7.837,807.57,ok,x^2 + x^2*y^6 + x^6*y^5,x*y^5 + x^3*y^12 + x^4*y^13
Z7xZ14,196,6,16,7.837,778.94,ok,x^3*y^7 + x^4*y^3 + x^5*y^10,x*y^13 + x^4*y^9 + x^5*y^12
Z7xZ15,210,4,18,6.171,4630.46,ok,x*y^6 + x^3*y^14 + x^5*y,y^8 + x^3*y^9 + x^3*y^10
Z7xZ15,210,4,16,4.876,716.47,ok,1 + x^4*y^14 + x^5*y^10,x^3*y^13 + x^5*y^3 + x^5*y^11
Z7xZ15,210,4,16,4.876,807.58,ok,y^3 + x^2*y^13 + x^3*y^11,x^3*y^12 + x^3*y^14 + x^5*y
Z7xZ15,210,4,8,1.219,0.67,ok,y^7 + x^4*y^2 + x^5*y^9,x^2*y^12 + x^5*y + x^5*y^2
Z7xZ15,210,4,18,6.171,3876.81,ok,x^3*y^7 + x^3*y^14 + x^6,y^5 + x^4*y^9 + x^6*y
Z7xZ15,210,4,10,1.905,3.32,ok,x^2*y^9 + x^2*y^11 + x^4*y^10,x^3*y^2 + x^3*y^13 + x^5*y^3
Z7xZ15,210,4,10,1.905,3.5,ok,x^2 + x^2*y^5 + x^6*y^7,x*y^7 + x^4*y^6 + x^4*y^14
Z7xZ15,210,4,18,6.171,3331.74,ok,y^14 + x*y^7 + x^6*y^12,x^3*y^3 + x^4*y^10 + x^4*y^14
Z7xZ15,210,4,18,6.171,2713.05,ok,x^4*y^3 + x^5*y + x^5*y^8,y^9 + x^4*y^14 + x^6*y
Z9xZ10,180,4,12,3.2,10.01,ok,x^5*y^9 + x^6*y^7 + x^7*y^3,y^9 + x*y + x^2*y^8
Z9xZ10,180,4,12,3.2,11.7,ok,x^4*y^7 + x^5*y^3 + x^6,x^4*y^6 + x^5*y^3 + x^6*y^8
Z9xZ10,180,4,18,7.2,4360.71,ok,x^3*y + x^5 + x^7*y^3,x + x^2*y^8 + x^6*y^7
Z9xZ10,180,4,14,4.356,17.07,ok,y^4 + x^2*y^2 + x^4,y^2 + x^2*y^4 + x^4*y^9
Z9xZ10,180,4,10,2.222,1.18,ok,y^6 + x^4*y^9 + x^5*y^5,x^2*y^6 + x^4*y^8 + x^6*y^9
Z9xZ10,180,4,10,2.222,1.78,ok,x^3*y^7 + x^4*y^3 + x^5,y^8 + x + x^2*y^9
Z9xZ10,180,4,16,5.689,627.16,ok,x^3*y^5 + x^4*y^6 + x^8*y^9,x^2*y^2 + x^6*y^4 + x^7*y^8
Z9xZ10,180,4,10,2.222,5.56,ok,x^4*y^8 + x^5*y^7 + x^6*y^7,x^2*y^7 + x^3 + x^4*y^6
Z9xZ10,180,4,16,5.689,776.14,ok,x^2*y + x^3 + x^7*y^5,y^5 + x^2*y^2 + x^4*y^3
Z9xZ10,180,4,10,2.222,1.43,ok,x^3*y^5 + x^5*y^5 + x^7*y^2,x*y^6 + x^5 + x^6*y^2
Z9xZ10,180,4,14,4.356,22.27,ok,1 + x^5*y + x^7*y^5,1 + x^4*y^8 + x^5*y^4
Z9xZ10,180,4,16,5.689,788.49,ok,x^2*y^3 + x^3*y^6 + x^7*y,x*y + x^6*y^4 + x^8*y^6
Z9xZ10,180,4,6,0.8,0.07,ok,1 + x + x^2,x^2*y^7 + x^4*y + x^6
Z9xZ10,180,4,14,4.356,19.87,ok,x^4*y^7 + x^6*y^3 + x^8*y^8,y^5 + x^4*y^4 + x^5*y^6
Z9xZ10,180,4,16,5.689,637.32,ok,x*y^9 + x^6*y^3 + x^8*y^8,x^2 + x^6*y^5 + x^7*y^9
Z9xZ10,180,4,16,5.689,704.48,ok,y^9 + x^4*y^2 + x^5*y^7,x^2*y^3 + x^6*y^4 + x^7*y^8
Z9xZ10,180,4,14,4.356,24.68,ok,1 + x*y^7 + x^8*y^9,y^7 + x^4*y^5 + x^8*y^3
Z9xZ10,180,4,16,5.689,609.89,ok,x^3*y^2 + x^7*y^5 + x^8*y^7,y^5 + x^4*y + x^8
Z9xZ10,180,4,16,5.689,699.13,ok,y^9 + x^7*y^7 + x^8*y,x^2*y^5 + x^3*y^2 + x^7*y^2
Z9xZ10,180,4,16,5.689,803.18,ok,x*y^3 + x^3*y^6 + x^8*y^3,x*y^6 + x^3*y^3 + x^8*y^5
Z9xZ10,180,4,8,1.422,0.59,ok,x^2*y^3 + x^3*y^4 + x^4*y^5,x^2*y^5 + x^3*y^6 + x^7*y^3
Z9xZ10,180,4,12,3.2,7.53,ok,x*y^4 + x^2*y^4 + x^6*y,x^2*y^4 + x^6*y^2 + x^7*y
Z9xZ10,180,4,16,5.689,734.15,ok,y^7 + x^4*y + x^5*y^8,x^2*y^7 + x^4*y^8 + x^6*y^7
Z9xZ10,180,4,4,0.356,0.04,ok,x^3*y^4 + x^5*y^8 + x^7*y^9,x*y^5 + x^3*y^4 + x^5
Z9xZ10,180,4,14,4.356,19.37,ok,x^4*y^8 + x^6*y^6 + x^8*y,x^3*y^4 + x^5*y^6 + x^7*y^8
Z9xZ10,180,4,14,4.356,32.56,ok,y^2 + x^4*y^2 + x^5,y^2 + x*y^2 + x^5*y^3
Z9xZ10,180,4,16,5.689,773.26,ok,x^2*y^5 + x^6*y^6 + x^7*y^9,x^3*y^8 + x^4*y^3 + x^5
Z9xZ10,180,4,16,5.689,751.5,ok,x*y^2 + x^2*y^9 + x^6*y^5,x^2*y^6 + x^3*y^6 + x^4*y^9
Z9xZ10,180,4,16,5.689,430.77,ok,x^2*y^8 + x^3*y^3 + x^7*y,x*y^7 + x^3 + x^5*y^5
Z9xZ10,180,4,6,0.8,0.11,ok,x^4*y^6 + x^6*y^7 + x^8*y^9,x^2*y^3 + x^4*y^4 + x^6*y^5
Z9xZ10,180,4,14,4.356,42.65,ok,x^4 + x^5*y^8 + x^6*y^9,y^4 + x + x^5
Z9xZ10,180,4,16,5.689,472.24,ok,x^3*y^2 + x^4*y^3 + x^8,y^2 + x^7*y^8 + x^8*y
Z9xZ10,180,4,10,2.222,0.94,ok,x^6*y^3 + x^7*y^2 + x^8*y^5,y^6 + x^4*y + x^8*y^3
Z9xZ10,180,4,14,4.356,23.56,ok,y^8 + x + x^5*y^9,1 + x^2*y^5 + x^4*y
Z9xZ10,180,4,16,5.689,695.65,ok,x^3*y^8 + x^4*y^8 + x^5*y^4,1 + x*y^9 + x^8*y^6
Z9xZ10,180,4,12,3.2,6.51,ok,x*y^8 + x^5*y^9 + x^6*y^2,x^3*y + x^7*y^7 + x^8*y^7
Z9xZ10,180,4,12,3.2,14.51,ok,y^4 + x^4*y^9 + x^5*y^7,x^5*y^4 + x^6*y + x^7*y
Z9xZ10,180,4,10,2.222,3.45,ok,x^5*y^3 + x^6*y + x^7*y^8,y^2 + x*y^6 + x^2*y
Z9xZ10,180,4,10,2.222,2.22,ok,x^3*y^7 + x^4*y^9 + x^5*y^4,x^4*y^7 + x^5*y^5 + x^6*y^6
Z9xZ10,180,4,10,2.222,1.15,ok,1 + x^5 + x^7*y^4,y^4 + x^4*y^5 + x^8*y^6
Z9xZ10,180,4,12,3.2,5.36,ok,x^2*y + x^3*y^9 + x^7,x*y^3 + x^5*y^4 + x^6*y^9
Z9xZ10,180,4,12,3.2,4.8,ok,x^6*y^6 + x^7*y^4 + x^8*y,x^2*y^7 + x^3*y^2 + x^4*y^7
Z9xZ10,180,4,14,4.356,40.46,ok,x^2*y^7 + x^3*y^8 + x^4*y^6,y^5 + x*y + x^5*y^5
Z9xZ10,180,4,16,5.689,640.35,ok,y^3 + x*y + x^8*y^6,x^6*y^3 + x^7*y^3 + x^8*y^2
Z9xZ10,180,4,10,2.222,1.17,ok,x*y^6 + x^2*y^9 + x^6*y^2,y^6 + x^4*y^3 + x^8*y
Z9xZ10,180,4,14,4.356,41.16,ok,x^4*y^7 + x^5*y^3 + x^6*y,x^5*y^4 + x^6*y^3 + x^7
Z9xZ10,180,4,12,3.2,6.49,ok,x^6*y^3 + x^7*y^2 + x^8*y^6,x^4*y^6 + x^5*y^2 + x^6*y^8
Z9xZ10,180,4,16,5.689,766.89,ok,y^7 + x^7*y^9 + x^8*y^5,x*y^6 + x^5*y^4 + x^6*y^3
Z9xZ10,180,4,10,2.222,0.71,ok,x^3*y^6 + x^4*y^7 + x^5*y^5,x*y^7 + x^5*y^4 + x^6*y^3
Z9xZ10,180,4,8,1.422,0.4,ok,x^6*y^8 + x^7*y^2 + x^8*y^3,x^3*y^4 + x^4*y^4 + x^8*y
Z9xZ10,180,4,14,4.356,23.61,ok,x^5*y + x^6*y^6 + x^7*y^5,y^8 + x + x^2*y^2
Z9xZ10,180,4,12,3.2,4.03,ok,x^2*y^5 + x^3*y^9 + x^7*y^7,y^4 + x^2*y^6 + x^4*y^5
Z9xZ10,180,4,16,5.689,657.1,ok,x*y^5 + x^3*y + x^8*y^4,x^3*y^2 + x^7*y^5 + x^8*y^7
Z3xZ42,252,4,18,5.143,6156.52,ok,y^33 + x*y^39 + x^2*y^18,x*y^15 + x*y^28 + x^2*y^4
