instance_id,group,n,k,d,d_ub_known,seconds,cost_step,status,A_poly,B_poly
0b201e9b21906148,Z7xZ11,154,6,14,18,35.33,1,ok,y + x + x^3,y^8 + x*y^2 + x^3*y^9
db8b7691de97d8bc,Z7xZ11,154,6,14,34,19.3,1,ok,y + x + x^3,x*y^9 + x^2*y + x^4*y^5
eaa9e5613aa7b689,Z7xZ11,154,6,4,28,0.03,1,ok,1 + x + x^3,y^6 + x^2*y^3 + x^6*y
f19b849228fe226a,Z7xZ11,154,6,10,24,0.66,1,ok,y + x + x^3,y^3 + x*y^10 + x^3*y^8
fafdfda437bce1c9,Z7xZ11,154,6,12,30,2.99,1,ok,y^2 + x*y + x^3,y^7 + x^4*y^6 + x^5*y
048730f59908b427,Z7xZ12,168,6,12,20,3.83,1,ok,y^4 + x*y + x^3,x^3*y^11 + x^4*y^4 + x^6*y^2
0988dc9cb67070a2,Z7xZ12,168,6,8,16,0.33,1,ok,y^3 + x*y + x^3,y^3 + x^2*y^5 + x^6*y^9
106efb08b34f03de,Z6xZ14,168,6,14,20,21.2,1,ok,y^2 + y^3 + x,y^8 + y^13 + x^4*y^2
17b160e563ed1c6a,Z7xZ12,168,6,8,30,0.6,1,ok,y^2 + x + x^3,x^3*y + x^4*y^2 + x^6*y^8
1c11b74ef8ea8800,Z7xZ12,168,6,14,30,15.61,1,ok,y^2 + x + x^3,x^2*y^6 + x^3*y^3 + x^5*y^5
026982d85d98f583,Z7xZ12,168,4,10,16,1.11,1,ok,y^11 + x*y + x^2,x*y^2 + x^3*y^3 + x^4*y^7
059d31abab0ef82a,Z7xZ12,168,4,12,20,4.44,1,ok,y^2 + x*y + x^2,x*y^3 + x^3*y + x^4*y^11
07cec12bc866dc2c,Z6xZ14,168,4,12,20,4.06,1,ok,y^3 + x*y + x^2,y^11 + x*y^9 + x^2*y^5
0c981fe67d36f723,Z7xZ12,168,4,10,18,1.26,1,ok,y + y^5 + x,x^2*y^5 + x^3*y^3 + x^3*y^7
0f3ad144649e191b,Z7xZ12,168,4,16,20,617.26,1,ok,y^2 + x*y + x^3,y^11 + x*y^9 + x^5*y
1e6e791ebce284c9,Z7xZ11,154,6,16,30,723.6,1,ok,y^3 + x*y + x^3,x^2*y^8 + x^3*y^10 + x^5
dd6ae1d425d74e48,Z7xZ11,154,6,10,32,0.8,1,ok,y + x + x^3,x*y^3 + x^2*y^4 + x^4*y^2
eab0a46387527a03,Z7xZ11,154,6,14,24,17.07,1,ok,y^2 + x*y + x^3,x^2*y + x^3*y^7 + x^5*y^5
f23840941a099b23,Z7xZ11,154,6,14,30,16.66,1,ok,y^2 + x*y + x^3,y + x^4*y^6 + x^5*y^7
fc6e47deff60eb45,Z7xZ11,154,6,14,32,18.46,1,ok,y^2 + x*y + x^3,y^10 + x^2*y^8 + x^6*y^7
04a4391927256cd5,Z6xZ14,168,6,12,24,3.8,1,ok,y^2 + y^3 + x,x*y^3 + x^2*y + x^5*y^11
09bd0c4143ccab64,Z6xZ14,168,6,8,18,0.4,1,ok,1 + y + y^3,x^2*y^13 + x^3*y^3 + x^3*y^4
114e7079ef67aa52,Z6xZ14,168,6,8,30,0.4,1,ok,y + y^3 + x,y^11 + x^2 + x^3*y^12
17cd954431b4a0de,Z6xZ14,168,6,12,24,3.29,1,ok,y^2 + y^3 + x,x*y^8 + x^2*y^3 + x^4*y^11
1c1d4642cbffe8ad,Z7xZ12,168,6,10,16,1.24,1,ok,y^8 + x*y^2 + x^3,x*y^7 + x^2*y^4 + x^4*y
027bb8bf45572974,Z7xZ12,168,4,16,36,672.36,1,ok,y^2 + y^4 + x,x^2*y^5 + x^4*y^4 + x^6
062bbe08c9affe44,Z6xZ14,168,4,16,28,431.37,1,ok,y + x + x^2,y^12 + x*y^6 + x^2*y^2
08983d489b9e3a03,Z7xZ12,168,4,4,40,0.05,1,ok,y + y^5 + x,x^2*y^3 + x^2*y^5 + x^3*y^4
0ce2c85b461e44e8,Z7xZ12,168,4,14,38,25.04,1,ok,y^5 + x*y + x^2,y^8 + x^4*y^4 + x^5*y^9
0f3f4b7e968324aa,Z7xZ12,168,4,14,32,20.5,1,ok,y + y^2 + x,x^3*y^7 + x^5 + x^5*y^11
ca926749f4c5eca7,Z7xZ11,154,6,12,18,2.45,1,ok,y + x + x^3,x^2*y^4 + x^3 + x^5*y^5
dff3a86ab56190c8,Z7xZ11,154,6,12,28,2.72,1,ok,y + x + x^3,x*y^2 + x^5*y^4 + x^6
ec9562ad3345f223,Z7xZ11,154,6,10,24,0.8,1,ok,y + x + x^3,y^4 + x^2*y^5 + x^6*y^2
f3012b4b222cda01,Z7xZ11,154,6,14,26,13.61,1,ok,y + x + x^3,y^6 + x^4*y^9 + x^5*y^5
